x,y,row,col,class,spatial_block,elevation,slope,aspect,twi,ndvi,insar_velocity
364677.93129713857,3393739.7317132005,16,403,1,33930000364,2478.8103,27.117641,115.470276,10.308952,0.54217994,-12.50901
357987.93129713857,3392299.7317132005,64,180,1,33920000357,2171.9097,15.726828,111.28622,10.308952,0.92350566,-5.105685
359547.93129713857,3391939.7317132005,76,232,1,33910000359,2429.74,55.489033,189.08548,10.308952,0.28321552,5.664224
358287.93129713857,3391909.7317132005,77,190,1,33910000358,2142.1255,35.623234,45.623276,10.308952,0.6812435,-7.4619894
358467.93129713857,3391789.7317132005,81,196,1,33910000358,2162.897,47.084347,35.862946,10.308952,0.8930016,-4.9684005
358557.93129713857,3391639.7317132005,86,199,1,33910000358,2112.7139,12.508659,129.05518,10.308952,0.67740005,-14.574176
361137.93129713857,3389479.7317132005,158,285,1,33890000361,1891.0857,40.727947,70.724075,10.308952,0.47554696,-4.1653485
361347.93129713857,3389089.7317132005,171,292,1,33890000361,1894.2952,40.464787,36.84474,10.308952,0.3399653,14.412581
362547.93129713857,3387649.7317132005,219,332,1,33870000362,1760.6786,35.857624,72.83318,10.308952,0.4650526,-27.905277
362847.93129713857,3386749.7317132005,249,342,1,33860000362,1720.5695,37.67669,69.083725,10.308952,0.46787536,-2.36676
362007.93129713857,3382939.7317132005,376,314,1,33820000362,1911.4393,49.04802,174.26883,10.308952,0.5401753,0.7997367
361947.93129713857,3382249.7317132005,399,312,1,33820000361,1422.1458,50.948532,22.692612,10.308952,0.5691236,-2.3515635
362757.93129713857,3382099.7317132005,404,339,1,33820000362,1437.3986,43.826797,182.63356,10.308952,0.77134997,3.0576317
362937.93129713857,3381949.7317132005,409,345,1,33810000362,1475.9126,31.545408,5.124237,10.308952,0.055949956,3.2325993
372507.93129713857,3379039.7317132005,506,664,0,33790000372,4048.4255,38.059948,114.36082,3.6458557,0.74315494,3.4483752
365037.93129713857,3392779.7317132005,48,415,0,33920000365,2626.8528,44.263332,279.653,10.308952,0.2220092,-1.07333
354987.93129713857,3381319.7317132005,430,80,0,33810000354,2977.1523,37.70285,49.697266,10.308952,0.30201754,12.243552
360477.93129713857,3387529.7317132005,223,263,0,33870000360,3200.4094,45.23236,115.90677,3.3930862,0.67391884,2.4641259
359697.93129713857,3383719.7317132005,350,237,0,33830000359,2463.2551,34.100597,126.60373,10.308952,0.5008576,-0.005537819
355527.93129713857,3383149.7317132005,369,98,0,33830000355,2868.1235,29.385845,107.22835,10.308952,0.9112766,-3.600647
360747.93129713857,3384349.7317132005,329,272,0,33840000360,2110.5435,28.84718,191.53339,10.308952,0.37300333,-4.5269675
372957.93129713857,3392719.7317132005,50,679,0,33920000372,3746.997,10.3404875,35.05139,10.308952,0.90872234,2.0515864
361887.93129713857,3387619.7317132005,220,310,0,33870000361,2340.7717,52.138344,77.76883,10.308952,0.49499336,21.641964
362037.93129713857,3391069.7317132005,105,315,0,33910000362,2764.821,51.140247,304.2579,10.308952,0.50512004,-2.3271048
372537.93129713857,3382609.7317132005,387,665,0,33820000372,4167.4526,31.078571,9.605148,5.699245,0.90456283,11.186704
372327.93129713857,3392839.7317132005,46,658,0,33920000372,4080.5015,35.743755,87.78448,4.4232216,0.92572415,2.7460072
367407.93129713857,3382789.7317132005,381,494,0,33820000367,2858.3074,41.973766,201.49109,10.308952,0.4531544,3.3089886
365907.93129713857,3386239.7317132005,266,444,0,33860000365,2535.8525,34.294243,245.06787,10.308952,0.28136674,-1.213217
